id;DESCRIPTION;price;link;image_link;availability;brand;delivery_time;gtin_ean;product_type;sale_price;size;stock;title
Kit Cables LG 55UK7550PLA;Kit Cables LG 55UK7550PLA (4 cables);4.13;https://www.sspelectronic.com/producto/1680-;https://www.sspelectronic.com/images/productos/img/1680-1-original.jpg;S;LG;2;1300000000001;Cable Flex / LVDS;5;0.5 x 0.5 x 0.5;5;Kit Cables LG 55UK7550PLA (4 cables)
MAZ660652;Soporte, Peana... Lg 65UK6470PLC MAZ660652;20.66;https://www.sspelectronic.com/producto/5-;https://www.sspelectronic.com/images/productos/img/5-1-original.jpg;S;LG;2;1300000000002;Soportes, Pies, Peanas...;25;0.5 x 0.5 x 0.5;6;Soporte, Peana... Lg 65UK6470PLC MAZ660652
KT1744-HG1;Mando a Distancia  KT1744-HG1 TD SYSTEMS K24DLM8HS...;16.53;https://www.sspelectronic.com/producto/12-;https://www.sspelectronic.com/images/productos/img/12-1-original.jpg;S;TD SYSTEM;2;1300000000003;Mandos a Distancia;20;0.5 x 0.5 x 0.5;0;Mando a Distancia KT1744-HG1 TD SYSTEMS K24DLM8HS...
AN-MR19BA;Mando LG  Magic Remote 2018 AN-MR19BA MBM67016601 (1807-rev01), NUEVO y ORIGINAL;24.75;https://www.sspelectronic.com/producto/11-;https://www.sspelectronic.com/images/productos/img/11-1-original.jpg;S;LG;2;1300000000004;Mandos a Distancia;29.95;0.5 x 0.5 x 0.5;0;Mando LG Magic Remote 2018 AN-MR19BA MBM67016601 (1807-rev01), NUEVO y ORIGINAL
PMSILVERIPLE-40/410920;Placa Main P75-2841V6.0  SILVER IPLE-40/410920;28.93;https://www.sspelectronic.com/producto/24-;https://www.sspelectronic.com/images/productos/img/24-1-original.jpg;S;SILVER;2;1300000000005;Placas Main;35;0.5 x 0.5 x 0.5;0;Placa Main P75-2841V6.0 SILVER IPLE-40/410920
AN-MR18BA negro;Mando LG  Magic Remote 2018 AN-MR18BA MBM63935979 (1707-rev02) Color: negro, NUEVO y ORIGINAL;30;https://www.sspelectronic.com/producto/6-;https://www.sspelectronic.com/images/productos/img/6-1-original.jpg;S;LG;2;1300000000006;Mandos a Distancia;36.3;0.5 x 0.5 x 0.5;0;Mando LG Magic Remote 2018 AN-MR18BA MBM63935979 (1707-rev02) Color: negro, NUEVO y ORIGINAL
RMF-TX310E;Mando a distancia SONY RMF-TX310E: SONY KD-55XF90XX... NUEVO y ORIGINAL;33.02;https://www.sspelectronic.com/producto/7-;https://www.sspelectronic.com/images/productos/img/7-1-original.jpg;S;SONY;2;1300000000007;Mandos a Distancia;39.95;0.5 x 0.5 x 0.5;0;Mando a distancia SONY RMF-TX310E: SONY KD-55XF90XX... NUEVO y ORIGINAL
CT-8543;Mando a Distancia TOSHIBA CT-8543, Nuevo y ORIGINAL;16.49;https://www.sspelectronic.com/producto/8-;https://www.sspelectronic.com/images/productos/img/8-1-original.jpg;S;TOSHIBA;2;1300000000008;Mandos a Distancia;19.95;0.5 x 0.5 x 0.5;0;Mando a Distancia TOSHIBA CT-8543, Nuevo y ORIGINAL
CT-8543 usado;Mando a Distancia TOSHIBA CT-8541, CT-8561, CT-8528, CT-8533 y CT-8543. ORIGINAL y Usado;8.26;https://www.sspelectronic.com/producto/9-;https://www.sspelectronic.com/images/productos/img/9-1-original.jpg;S;TOSHIBA;2;1300000000009;Mandos a Distancia;10;0.5 x 0.5 x 0.5;3;Mando a Distancia TOSHIBA CT-8541, CT-8561, CT-8528, CT-8533 y CT-8543. ORIGINAL y Usado
AKB75675301;Mando a Distancia LG AKB75675301;8.22;https://www.sspelectronic.com/producto/10-;https://www.sspelectronic.com/images/productos/img/10-1-original.jpg;S;LG;2;1300000000010;Mandos a Distancia;9.95;0.5 x 0.5 x 0.5;0;Mando a Distancia LG AKB75675301
AE0200994;Mando a Distancia  AE0200994 TD SYSTEMS K55DLY8US;16;https://www.sspelectronic.com/producto/13-;https://www.sspelectronic.com/images/productos/img/13-1-original.jpg;S;TD SYSTEM;2;1300000000011;Mandos a Distancia;19.36;0.5 x 0.5 x 0.5;0;Mando a Distancia AE0200994 TD SYSTEMS K55DLY8US
MNevir741220hd-B;Mando a Distancia Nevir 7412-20HD-B Nuevo y Original;0.04;https://www.sspelectronic.com/producto/14-;https://www.sspelectronic.com/images/productos/img/14-1-original.jpg;S;NEVIR;2;1300000000012;Mandos a Distancia;0.05;0.5 x 0.5 x 0.5;0;Mando a Distancia Nevir 7412-20HD-B Nuevo y Original
MaDStreamSystemBM40L81;Mando a Distancia Stream System BM40L81 Nuevo y Original;15;https://www.sspelectronic.com/producto/15-;https://www.sspelectronic.com/images/productos/img/15-1-original.jpg;S;STREAM SYSTEM;2;1300000000013;Mandos a Distancia;18.15;0.5 x 0.5 x 0.5;0;Mando a Distancia Stream System BM40L81 Nuevo y Original
